NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,CountJunctions_y,WardArea_y,JunctionRatio_y
Newington,E05000544,83.358,0,E09000028,Southwark,51180,121,833605,0.000145152
Faraday,E05000541,87.815,0,E09000028,Southwark,51169,113,878155,0.000128678
East Walworth,E05000540,114.662,0,E09000028,Southwark,117348,130,1146618,0.000113376
Livesey,E05000543,143.832,0,E09000028,Southwark,117347,190,1438307,0.000132099
South Bermondsey,E05000550,97.363,0,E09000028,Southwark,51172,143,973619,0.000146874
Cathedrals,E05000536,176.822,18.584,E09000028,Southwark,117349,281,1768245,0.000158914
Grange,E05000542,121.453,0,E09000028,Southwark,117354,161,1214554,0.000132558
Rotherhithe,E05000549,149.05,12.968,E09000028,Southwark,117355,139,1490519,0.000093256
Surrey Docks,E05000552,190.062,45.013,E09000028,Southwark,50733,132,1900620,0.000069451
Chaucer,E05000537,81.977,0,E09000028,Southwark,50814,151,819748,0.000184203
Bellingham,E05000437,308.471,0,E09000023,Lewisham,117089,237,3084706,0.00007683
Telegraph Hill,E05000453,154.631,0,E09000023,Lewisham,117094,142,1546326,0.00009183
Downham,E05000442,238.178,0,E09000023,Lewisham,117085,190,2381812,0.000079771
Whitefoot,E05000454,223.004,0,E09000023,Lewisham,117086,250,2230033,0.000112106
Blackheath,E05000438,231.823,0,E09000023,Lewisham,117096,248,2318191,0.00010698
Sydenham,E05000452,174.372,0,E09000023,Lewisham,117087,187,1743705,0.000107242
Forest Hill,E05000444,182.785,0,E09000023,Lewisham,51164,197,1827837,0.000107777
Perry Vale,E05000450,168.45,0,E09000023,Lewisham,117088,193,1684478,0.000114575
Rushey Green,E05000451,178.524,0,E09000023,Lewisham,117090,176,1785237,0.000098586
Catford South,E05000440,186.655,0,E09000023,Lewisham,117091,115,1866543,0.000061611
Crofton Park,E05000441,171.962,0,E09000023,Lewisham,117100,157,1719629,0.000091298
Ladywell,E05000446,160.598,0,E09000023,Lewisham,117092,133,1605990,0.000082815
Lewisham Central,E05000448,206.203,0,E09000023,Lewisham,117093,221,2062021,0.000107176
Brockley,E05000439,168.183,0,E09000023,Lewisham,117095,189,1681822,0.000112378
New Cross,E05000449,181.114,1.407,E09000023,Lewisham,117097,176,1811127,0.000097177
Grove Park,E05000445,239.291,0,E09000023,Lewisham,117098,231,2392917,0.000096534
Lee Green,E05000447,179.842,0,E09000023,Lewisham,117099,167,1798441,0.000092858
Evelyn,E05000443,177.62,15.388,E09000023,Lewisham,117101,177,1776214,0.00009965
Middle Park and Sutcliffe,E05000224,329.143,0,E09000011,Greenwich,117371,206,3291449,0.000062586
Coldharbour and New Eltham,E05000217,254.935,0,E09000011,Greenwich,117370,198,2549308,0.000077668
Eltham South,E05000219,462.641,0,E09000011,Greenwich,117367,208,4626432,0.000044959
Shooters Hill,E05000227,377.072,0,E09000011,Greenwich,117368,208,3770700,0.000055162
Peninsula,E05000225,449.194,107.254,E09000011,Greenwich,117376,316,4491920,0.000070348
Woolwich Riverside,E05000230,326.109,72.317,E09000011,Greenwich,117378,231,3261078,0.000070835
Greenwich West,E05000222,279.234,26.431,E09000011,Greenwich,117369,232,2792372,0.000083083
Eltham West,E05000220,242.564,0,E09000011,Greenwich,117382,206,2425645,0.000084925
Blackheath Westcombe,E05000215,213.815,0,E09000011,Greenwich,117373,195,2138138,0.0000912
Kidbrooke with Hornfair,E05000223,237.454,0,E09000011,Greenwich,117374,163,2374532,0.000068645
Eltham North,E05000218,255.512,0,E09000011,Greenwich,117372,169,2555149,0.000066141
Charlton,E05000216,203.12,0,E09000011,Greenwich,117377,161,2031219,0.000079262
Woolwich Common,E05000229,262.035,0,E09000011,Greenwich,117375,222,2620380,0.00008472
Plumstead,E05000226,234.189,0,E09000011,Greenwich,117380,209,2341892,0.000089244
Glyndon,E05000221,170.196,15.42,E09000011,Greenwich,117379,142,1701960,0.000083433
Thamesmead Moorings,E05000228,481.256,89.362,E09000011,Greenwich,50872,213,4812550,0.000044259
Abbey Wood,E05000214,265.721,0,E09000011,Greenwich,117381,256,2657218,0.000096341
Longlands,E05000078,259.723,0,E09000004,Bexley,117119,176,2597239,0.000067764
Blackfen and Lamorbey,E05000066,168.558,0,E09000004,Bexley,117121,205,1685582,0.000121619
Cray Meadows,E05000072,719.031,0,E09000004,Bexley,117118,199,7190297,0.000027676
Sidcup,E05000083,270.347,0,E09000004,Bexley,117120,203,2703462,0.000075088
St. Mary's,E05000081,442.853,0,E09000004,Bexley,50888,226,4428495,0.000051033
Crayford,E05000071,397.229,0.451,E09000004,Bexley,117126,208,3972244,0.000052363
North End,E05000079,568.001,122.841,E09000004,Bexley,50918,178,5680089,0.000031337
Erith,E05000075,475.333,131.166,E09000004,Bexley,117129,208,4753344,0.000043758
Belvedere,E05000065,317.549,30.441,E09000004,Bexley,117130,209,3175481,0.000065816
Thamesmead East,E05000084,483.369,85.721,E09000004,Bexley,50862,176,4833681,0.000036411
Falconwood and Welling,E05000076,167.026,0,E09000004,Bexley,117122,187,1670255,0.000111959
East Wickham,E05000074,217.313,0,E09000004,Bexley,50877,163,2173117,0.000075007
Blendon and Penhill,E05000067,209.79,0,E09000004,Bexley,50890,217,2097934,0.000103435
Danson Park,E05000073,271.324,0,E09000004,Bexley,117123,189,2713248,0.000069658
Christchurch,E05000069,255.207,0,E09000004,Bexley,117124,231,2552070,0.000090514
St. Michael's,E05000082,144.814,0,E09000004,Bexley,50864,110,1448148,0.000075959
Brampton,E05000068,196.746,0,E09000004,Bexley,50883,153,1967481,0.000077764
Northumberland Heath,E05000080,175.282,0,E09000004,Bexley,117127,182,1752806,0.000103833
Barnehurst,E05000064,287.74,0,E09000004,Bexley,117125,179,2877359,0.000062209
Colyers,E05000070,164.393,0,E09000004,Bexley,117128,143,1643926,0.000086986
Lesnes Abbey,E05000077,237.019,0,E09000004,Bexley,117117,171,2370200,0.000072145
Chase,E05000195,1693.541,0,E09000010,Enfield,117071,230,16935433,0.000013581
Winchmore Hill,E05000213,276.07,0,E09000010,Enfield,117075,169,2760676,0.000061216
Cockfosters,E05000196,1041.279,0,E09000010,Enfield,117065,283,10412778,0.000027178
Highlands,E05000202,508.803,0,E09000010,Enfield,117068,244,5088027,0.000047955
Upper Edmonton,E05000212,264.24,0,E09000010,Enfield,117069,241,2642413,0.000091204
Palmers Green,E05000205,194.212,0,E09000010,Enfield,117074,232,1942128,0.000119456
Edmonton Green,E05000197,312.642,0,E09000010,Enfield,117076,245,3126447,0.000078363
