NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Charlton,E05000216,203.12000,0.00000,E09000011,Greenwich,117377,4
Woolwich Common,E05000229,262.03500,0.00000,E09000011,Greenwich,117375,11
Plumstead,E05000226,234.18900,0.00000,E09000011,Greenwich,117380,11
Glyndon,E05000221,170.19600,15.42000,E09000011,Greenwich,117379,6
Thamesmead Moorings,E05000228,481.25600,89.36200,E09000011,Greenwich,50872,5
Abbey Wood,E05000214,265.72100,0.00000,E09000011,Greenwich,117381,6
Longlands,E05000078,259.72300,0.00000,E09000004,Bexley,117119,2
Blackfen and Lamorbey,E05000066,168.55800,0.00000,E09000004,Bexley,117121,1
Cray Meadows,E05000072,719.03100,0.00000,E09000004,Bexley,117118,3
Sidcup,E05000083,270.34700,0.00000,E09000004,Bexley,117120,8
St. Mary's,E05000081,442.85300,0.00000,E09000004,Bexley,50888,4
Crayford,E05000071,397.22900,0.45100,E09000004,Bexley,117126,5
North End,E05000079,568.00100,122.84100,E09000004,Bexley,50918,0
Erith,E05000075,475.33300,131.16600,E09000004,Bexley,117129,4
Belvedere,E05000065,317.54900,30.44100,E09000004,Bexley,117130,6
Thamesmead East,E05000084,483.36900,85.72100,E09000004,Bexley,50862,1
Falconwood and Welling,E05000076,167.02600,0.00000,E09000004,Bexley,117122,7
East Wickham,E05000074,217.31300,0.00000,E09000004,Bexley,50877,6
Blendon and Penhill,E05000067,209.79000,0.00000,E09000004,Bexley,50890,0
Danson Park,E05000073,271.32400,0.00000,E09000004,Bexley,117123,7
Christchurch,E05000069,255.20700,0.00000,E09000004,Bexley,117124,8
St. Michael's,E05000082,144.81400,0.00000,E09000004,Bexley,50864,0
Brampton,E05000068,196.74600,0.00000,E09000004,Bexley,50883,5
Northumberland Heath,E05000080,175.28200,0.00000,E09000004,Bexley,117127,4
Barnehurst,E05000064,287.74000,0.00000,E09000004,Bexley,117125,3
Colyers,E05000070,164.39300,0.00000,E09000004,Bexley,117128,1
Lesnes Abbey,E05000077,237.01900,0.00000,E09000004,Bexley,117117,2
Chase,E05000195,1693.54100,0.00000,E09000010,Enfield,117071,1
Winchmore Hill,E05000213,276.07000,0.00000,E09000010,Enfield,117075,4
Cockfosters,E05000196,1041.27900,0.00000,E09000010,Enfield,117065,6
Highlands,E05000202,508.80300,0.00000,E09000010,Enfield,117068,3
Upper Edmonton,E05000212,264.24000,0.00000,E09000010,Enfield,117069,18
Palmers Green,E05000205,194.21200,0.00000,E09000010,Enfield,117074,15
Edmonton Green,E05000197,312.64200,0.00000,E09000010,Enfield,117076,18
Lower Edmonton,E05000204,218.24800,0.00000,E09000010,Enfield,117077,9
Grange,E05000200,328.51600,0.00000,E09000010,Enfield,117067,6
Jubilee,E05000203,392.83300,0.00000,E09000010,Enfield,117078,5
Ponders End,E05000206,354.29600,0.00000,E09000010,Enfield,117081,8
Enfield Highway,E05000198,463.65300,0.00000,E09000010,Enfield,117082,8
Bowes,E05000193,148.33700,0.00000,E09000010,Enfield,117073,6
Southgate Green,E05000209,261.35100,0.00000,E09000010,Enfield,117072,11
Southgate,E05000208,268.72700,0.00000,E09000010,Enfield,117066,11
Haselbury,E05000201,179.60200,0.00000,E09000010,Enfield,117084,5
Bush Hill Park,E05000194,252.44900,0.00000,E09000010,Enfield,117070,4
Town,E05000210,223.14000,0.00000,E09000010,Enfield,117080,5
Southbury,E05000207,286.70400,0.00000,E09000010,Enfield,117079,11
Turkey Street,E05000211,226.15000,0.00000,E09000010,Enfield,117083,10
Enfield Lock,E05000199,325.23100,0.00000,E09000010,Enfield,50605,6
Leyton,E05000604,203.21800,0.00000,E09000031,Waltham Forest,50808,9
High Street,E05000599,305.89300,0.00000,E09000031,Waltham Forest,50677,11
Higham Hill,E05000600,322.12400,0.00000,E09000031,Waltham Forest,50613,7
Valley,E05000607,198.48200,0.00000,E09000031,Waltham Forest,50612,8
