NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Leyton,E05000604,203.21800,0.00000,E09000031,Waltham Forest,50808,18
High Street,E05000599,305.89300,0.00000,E09000031,Waltham Forest,50677,9
Higham Hill,E05000600,322.12400,0.00000,E09000031,Waltham Forest,50613,8
Valley,E05000607,198.48200,0.00000,E09000031,Waltham Forest,50612,8
Chingford Green,E05000593,372.66400,0.00000,E09000031,Waltham Forest,50614,9
Cathall,E05000591,105.71200,0.00000,E09000031,Waltham Forest,50807,8
Lea Bridge,E05000603,264.68600,0.00000,E09000031,Waltham Forest,50683,8
Markhouse,E05000606,145.70400,0.00000,E09000031,Waltham Forest,50692,7
Grove Green,E05000596,89.58200,0.00000,E09000031,Waltham Forest,50685,8
Forest,E05000595,198.60500,0.00000,E09000031,Waltham Forest,51314,7
William Morris,E05000608,99.91900,0.00000,E09000031,Waltham Forest,50690,4
Hoe Street,E05000601,110.00600,0.00000,E09000031,Waltham Forest,50686,11
Wood Street,E05000609,185.01100,0.00000,E09000031,Waltham Forest,50688,13
Chapel End,E05000592,185.01500,0.00000,E09000031,Waltham Forest,50689,11
Hale End and Highams Park,E05000597,234.68900,0.00000,E09000031,Waltham Forest,50603,5
Cann Hall,E05000590,85.78800,0.00000,E09000031,Waltham Forest,51317,1
Larkswood,E05000602,206.57000,0.00000,E09000031,Waltham Forest,50601,1
Endlebury,E05000594,194.91200,0.00000,E09000031,Waltham Forest,50602,7
Hatch Lane,E05000598,241.62100,0.00000,E09000031,Waltham Forest,51311,0
Leytonstone,E05000605,130.59100,0.00000,E09000031,Waltham Forest,51313,14
Wanstead,E05000515,519.13300,0.00000,E09000026,Redbridge,116755,13
Cranbrook,E05000502,240.07900,0.00000,E09000026,Redbridge,51304,21
Newbury,E05000510,212.02300,0.00000,E09000026,Redbridge,51302,22
Roding,E05000511,236.29700,0.00000,E09000026,Redbridge,51306,8
Fairlop,E05000503,359.56900,0.00000,E09000026,Redbridge,51300,9
Goodmayes,E05000505,164.03400,0.00000,E09000026,Redbridge,51293,8
Aldborough,E05000495,859.97400,0.00000,E09000026,Redbridge,51299,11
Bridge,E05000497,257.86000,0.00000,E09000026,Redbridge,50604,4
Hainault,E05000506,565.28700,0.00000,E09000026,Redbridge,51288,5
Loxford,E05000507,128.82300,2.30000,E09000026,Redbridge,51354,21
Clementswood,E05000501,127.21500,0.00000,E09000026,Redbridge,51303,15
Mayfield,E05000508,188.21700,0.00000,E09000026,Redbridge,51292,9
Valentines,E05000514,150.32800,0.00000,E09000026,Redbridge,51307,16
Seven Kings,E05000512,208.33800,0.00000,E09000026,Redbridge,51291,15
Snaresbrook,E05000513,198.51600,0.00000,E09000026,Redbridge,116756,3
Clayhall,E05000500,249.38900,0.00000,E09000026,Redbridge,51305,9
Church End,E05000499,148.49600,0.00000,E09000026,Redbridge,51312,8
Barkingside,E05000496,152.92000,0.00000,E09000026,Redbridge,51308,12
Fullwell,E05000504,218.78700,0.00000,E09000026,Redbridge,51309,7
